Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2020-03-01,22:30,22.28,37.17,557.00,,,,,,2.00,4.00,,,,,,,,
2020-03-01,22:45,22.16,37.23,30.00,,,,,,2.00,2.00,,,,,,,,
2020-03-01,23:00,22.11,37.23,284.00,,,,,,2.00,2.00,,,,,,,,
2020-03-01,23:15,22.09,37.55,456.00,,,,,,1.00,2.00,,,,,,,,
2020-03-01,23:30,22.03,38.10,488.00,,,,,,2.00,2.00,,,,,,,,
2020-03-01,23:45,22.01,38.25,280.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,00:00,21.99,39.00,436.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,00:15,21.98,39.00,98.00,,,,,,2.00,3.00,,,,,,,,
2020-03-02,00:30,22.00,40.73,581.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,00:45,22.28,39.23,355.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,01:00,22.45,40.03,386.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,01:15,22.31,41.05,391.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,01:30,22.24,42.09,675.00,,,,,,2.00,4.00,,,,,,,,
2020-03-02,01:45,22.11,43.28,381.00,,,,,,2.00,4.00,,,,,,,,
2020-03-02,02:00,21.99,43.33,315.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,02:15,21.93,43.39,484.00,,,,,,2.00,3.00,,,,,,,,
2020-03-02,02:30,21.85,42.52,357.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,02:45,21.84,41.81,121.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,03:00,21.81,41.40,26.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,03:15,21.71,41.13,407.00,,,,,,1.00,3.00,,,,,,,,
2020-03-02,03:30,21.59,40.82,1303.00,,,,,,2.00,2.00,,,,,,,,
2020-03-02,03:45,21.56,40.46,,,,,,,,,,,,,,,,
2020-03-02,04:00,21.48,40.14,309.00,,,,,,0.00,2.00,,,,,,,,
2020-03-02,04:15,21.37,39.81,25.00,,,,,,0.00,0.00,,,,,,,,
